Nommunicipio,Pesoprom,Precio
Acala,231.33,62.08
Berriozábal,237.59,61.81
Cintalapa,223.37,60.03
Coapilla,214.29,61.35
Copainalá,214.21,61.83
Chiapa de Corzo,228.36,62.08
Chiapilla,224.52,62.81
Chicoasén,228.59,61.05
Ixtapa,233.51,61.65
Jiquipilas,201.94,59.61
Nicolás Ruíz,197.98,61.72
Ocotepec,207.39,61.84
Ocozocoautla de Espinosa,236.08,60.67
Osumacinta,228.04,61.66
San Fernando,236.36,60.44
Soyaló,217.2,62.07
Suchiapa,232.94,61.27
Tecpatán,231.61,60.64
Totolapa,229.56,61.35
Tuxtla Gutiérrez,236.93,62
Venustiano Carranza,207.1,61.33
San Lucas,221.64,62.42
Emiliano Zapata,229.16,62.15
Mezcalapa,231.38,60.38
Altamirano,226.47,70.87
Amatenango del Valle,231.55,71.03
Chalchihuitán,227.36,70.78
Chamula,224.43,70.67
Chanal,229.12,70.96
Chenalhó,220.43,70.73
Huixtán,226.33,71.05
Larráinzar,232.14,70.73
Mitontic,232.95,70.84
Oxchuc,231.06,70.97
Pantelhó,225.12,70.78
Las Rosas,229.47,70.61
San Cristóbal de Las Casas,224.51,70.58
Tenejapa,231.22,70.76
Teopisca,223.94,70.73
Zinacantán,230.13,70.86
San Juan Cancuc,225.07,71.05
Aldama,223.95,70.68
Santiago El Pinar,227.91,70.81
Comitán de Domínguez,217.37,72.22
Chicomuselo,220.59,71.89
Frontera Comalapa,220.99,71.91
La Independencia,215.02,71.18
Las Margaritas,219.7,71.78
Socoltenango,224.87,72.48
La Trinitaria,217.21,71.79
Tzimol,219.07,71.89
Maravilla Tenejapa,220.26,71.74
Angel Albino Corzo,213.61,57.74
La Concordia,218.13,59.28
Villa Corzo,220.29,58.84
Villaflores,219.75,58.66
Montecristo de Guerrero,214,60.23
El Parral,221.92,60.46
Amatán,213.66,41.08
Bochil,205.18,37.76
El Bosque,203.03,38.03
Chapultenango,206.67,42.14
Francisco León,209.17,41.81
Huitiupán,213.52,38.2
Ixhuatán,203.79,39.15
Ixtacomitán,209.25,41.08
Ixtapangajoya,220.59,40.75
Jitotol,209.28,39.12
Juárez,216.63,41.72
Ostuacán,213.74,42.63
Pantepec,207.62,38.76
Pichucalco,218.12,42.57
Pueblo Nuevo Solistahuacán,203.27,37.16
Rayón,210.95,37.05
Reforma,215.74,41.22
Simojovel,196.29,38.91
Solosuchiapa,206.39,39.95
Sunuapa,208.66,40.62
Tapalapa,203.95,37.55
Tapilula,201.06,37.39
San Andrés Duraznal,203.42,39.37
Rincón Chamula San Pedro,204.71,36.99
Catazajá,255.76,58.8
Chilón,277.85,59.56
La Libertad,254.87,60.39
Ocosingo,251.21,62.27
Palenque,252.69,57.69
Sabanilla,272.97,59.48
Salto de Agua,264.07,58.96
Sitalá,270.26,59.56
Tila,268.93,59.75
Tumbalá,272.25,61.64
Yajalón,273.42,60.07
Amatenango de La Frontera,172.8,36.89
Bejucal de Ocampo,159.49,36.77
Bella Vista,166.18,36.78
La Grandeza,165.42,37.22
Mazapa de Madero,165.8,36.68
Motozintla,168.88,37.1
El Porvenir,166.56,37.34
Siltepec,174.08,38.15
Capitán Luis Ángel Vidal,165.44,36.82
Acacoyagua,299.42,51
Acapetahua,292.25,46.28
Escuintla,277.19,47.55
Frontera Hidalgo,274.72,52.16
Huehuetán,280.01,48.89
Huixtla,277.91,49.83
Mapastepec,305.58,47.7
Mazatán,285.13,50.14
Metapa,281.55,52.15
Villa Comaltitlán,281.08,49.96
Suchiate,280.48,45.81
Tapachula,283.11,55.17
Tuxtla Chico,281.46,53.09
Tuzantán,276.68,52.17
Arriaga,199.45,55.21
Pijijiapan,224.55,59.25
Tonalá,216.64,53.44
Ocosingo,216.01,71.09
Benemérito de Las Américas,215.89,73.24
Marqués de Comillas,217.55,73.84
